corp_ceref,corp_name,ro_ceref,ro_full_name,ro_name_chi,ro_ra_types
ABD523,SBI China Capital Financial Services Limited,AEH242,KWAN Ringo Cheukkai,關卓啟,1
ABD523,SBI China Capital Financial Services Limited,BCF238,NG Siu Ching,伍少貞,"1,4,9"
ABD523,SBI China Capital Financial Services Limited,AHG557,TSE Kwok On,謝國安,1
ABD523,SBI China Capital Financial Services Limited,AOB779,XIE Jun,謝俊,"1,4,9"
ABD523,SBI China Capital Financial Services Limited,AVL281,YE Wenli,葉文莉,"4,9"
ABD523,SBI China Capital Financial Services Limited,ANF284,"YIP Hoi Yin, Eva",葉海燕,4
ABH736,South Ocean Management Limited,ABH739,"MC CONNELL Richard Esterbrook, Jr",,9
ABH736,South Ocean Management Limited,ANF300,TAW Stephen Richard,,9
ABR571,SIIC Capital (Hong Kong) Investment Management Company Limited,BNC396,LIANG Ruichao,梁睿超,"4,9"
ABR571,SIIC Capital (Hong Kong) Investment Management Company Limited,BGW991,ZHAO Tian,趙恬,"4,9"
ACB075,Shacom Securities Limited,AJX991,HUI Cheung Kui,許祥駒,"1,4"
ACB075,Shacom Securities Limited,BOG745,LAU Ho Man Joey,柳浩文,"1,4"
ACB075,Shacom Securities Limited,AFX265,LOCK Kwok Piu,駱國標,"1,4"
ACB501,Southwest Securities (HK) Brokerage Limited,AOB604,"TONG Shing, Johnson",唐誠,"1,4"
ACJ591,Schroder Investment Management (Hong Kong) Limited,ALI655,BRYANT Steve Roger,,"1,4"
ACJ591,Schroder Investment Management (Hong Kong) Limited,ASU040,GUO Wei,郭煒,"1,4"
ACJ591,Schroder Investment Management (Hong Kong) Limited,BBT472,HUANG Guan,黃冠,"1,4"
ACJ591,Schroder Investment Management (Hong Kong) Limited,APM142,KIM Seung Ju,金升柱,"4,9"
ACJ591,Schroder Investment Management (Hong Kong) Limited,AXX240,KONDO Keiko,近藤敬子,"4,9"
ACJ591,Schroder Investment Management (Hong Kong) Limited,AEG451,"LAM Yuen Ngar, Ginie",林宛雅,"1,4"
ACJ591,Schroder Investment Management (Hong Kong) Limited,ACS196,"LAW Yuet Yee, Clara",羅月兒,1
ACJ591,Schroder Investment Management (Hong Kong) Limited,ADA869,LO Wai Leung,盧偉良,"4,9"
ACJ591,Schroder Investment Management (Hong Kong) Limited,AWH550,MCDOUGALL Alexander Henry,,"1,4,9"
ACJ591,Schroder Investment Management (Hong Kong) Limited,BTK852,MIRCHANDANI Gopi Bhagu,,"1,4,9"
ACJ591,Schroder Investment Management (Hong Kong) Limited,ANE767,PANG Matthew Man Yat,彭文逸,"1,4"
ACJ591,Schroder Investment Management (Hong Kong) Limited,ABR702,PIDDEN Andrew Frederick Peter,,"1,4,9"
ACJ591,Schroder Investment Management (Hong Kong) Limited,AXY698,YU Hsueh-yu,于學宇,"1,4,9"
