corp_ceref,corp_name,ro_ceref,ro_full_name,ro_first_short,ro_first_full,ro_last,ro_name_chi,ro_ra_types
ACU526,ABN AMRO Clearing Hong Kong Limited,AOL748,PEALLING Paul Michael Alfred,Paul,Paul Michael Alfred,Pealling,,"1,2"
ACU526,ABN AMRO Clearing Hong Kong Limited,AOY776,ROSSI Valerie,Valerie,Valerie,Rossi,,"1,2"
ACU526,ABN AMRO Clearing Hong Kong Limited,AOG774,WEST David Neil,David Neil,David Neil,West,,"1,2"
ACU526,ABN AMRO Clearing Hong Kong Limited,BTK290,WU Meng Hwa,Meng Hwa,Meng Hwa,Wu,吳明華,"1,2"
ACX624,Apricot Capital (Hong Kong) Limited,BGB433,LAW Tsz Shing,Tsz Shing,Tsz Shing,Law,羅子成,"1,4"
ACX624,Apricot Capital (Hong Kong) Limited,BPV268,WONG Kam Yui,Kam Yui,Kam Yui,Wong,黃金銳,"1,4"
ACX411,ABCI Securities Company Limited,AXY811,BIAN Jing,Jing,Jing,Bian,卞京,1
ACX411,ABCI Securities Company Limited,APG837,CHAN Man Bun,Man Bun,Man Bun,Chan,陳文斌,1
ACX411,ABCI Securities Company Limited,ALZ081,CHENG Ngai Chung,Ngai Chung,Ngai Chung,Cheng,鄭毅松,1
ACX411,ABCI Securities Company Limited,BBY990,DAI Xin,Xin,Xin,Dai,戴昕,1
ACX411,ABCI Securities Company Limited,BRQ615,GUO Qian,Qian,Qian,Guo,郭茜,1
ACX411,ABCI Securities Company Limited,BII870,HUANG Qun,Qun,Qun,Huang,黃群,4
ACX411,ABCI Securities Company Limited,BFW321,KWAN Ho Yan,Ho Yan,Ho Yan,Kwan,關可人,"1,4"
ACX411,ABCI Securities Company Limited,ALV422,LIN Sally,Sally,Sally,Lin,林青,"1,4"
ACX411,ABCI Securities Company Limited,BJI216,LIN Shaoxing,Shaoxing,Shaoxing,Lin,林少行,1
ACX411,ABCI Securities Company Limited,BSA364,LIU Bei,Bei,Bei,Liu,劉蓓,"1,4"
ACX411,ABCI Securities Company Limited,BMX296,QIU Wei,Wei,Wei,Qiu,裘煒,"1,4"
ACX411,ABCI Securities Company Limited,BVZ546,WANG Honglin,Honglin,Honglin,Wang,王紅林,4
ACX411,ABCI Securities Company Limited,ACQ049,WONG Chi Hung,Chi Hung,Chi Hung,Wong,黃志雄,"1,4"
ACX411,ABCI Securities Company Limited,AWK450,YAO Shaohua,Shaohua,Shaohua,Yao,姚少華,4
ACX411,ABCI Securities Company Limited,ACR509,YIP Siu Ling,Siu Ling,Siu Ling,Yip,葉少鈴,1
ADC047,Allard Partners Limited,BGI550,DATH Julien,Julien,Julien,Dath,,"4,9"
ADC047,Allard Partners Limited,ABZ319,PETERS Wayne Victor Allard,Wayne,Wayne Victor Allard,Peters,,"4,9"
